Team,R64,Seed,R32,S16,E8,F4,NCG,Region
Auburn,98.10%,1,87.30%,72.48%,51.81%,27.79%,14.12%,South
Duke,96.62%,1,91.53%,80.27%,64.10%,49.36%,28.17%,East
Florida,96.38%,1,84.25%,74.01%,54.65%,31.69%,17.41%,West
Houston,95.67%,1,78.71%,66.55%,44.20%,16.47%,8.46%,Midwest
Michigan St.,95.87%,2,79.21%,58.70%,25.18%,10.37%,4.36%,South
Alabama,94.60%,2,79.02%,55.95%,17.90%,8.48%,3.32%,East
Tennessee,94.17%,2,77.91%,55.11%,25.12%,8.26%,3.36%,Midwest
St. John's,93.90%,2,67.53%,49.25%,20.19%,11.33%,5.07%,West
Iowa St.,92.87%,3,63.63%,22.21%,6.41%,2.23%,0.64%,South
Kentucky,92.09%,3,63.74%,25.20%,12.05%,4.46%,1.91%,Midwest
Wisconsin,91.84%,3,60.27%,22.87%,5.83%,2.48%,1.05%,East
Texas Tech,91.39%,3,61.44%,24.06%,6.99%,2.47%,0.74%,West
Arizona,85.19%,4,52.01%,8.98%,3.94%,1.62%,0.75%,East
Maryland,83.89%,4,52.68%,9.64%,4.49%,1.70%,0.69%,West
Purdue,82.35%,4,40.04%,9.83%,3.45%,1.17%,0.56%,Midwest
Texas AM,77.53%,4,35.24%,6.49%,2.74%,0.93%,0.31%,South
Clemson,82.42%,5,48.62%,10.45%,3.90%,1.11%,0.41%,Midwest
Oregon,79.87%,5,37.11%,5.33%,2.19%,0.89%,0.42%,East
Michigan,79.32%,5,50.36%,12.10%,5.32%,2.39%,1.16%,South
Memphis,69.36%,5,33.88%,4.79%,1.75%,0.63%,0.23%,West
Illinois,73.86%,6,26.40%,9.85%,1.76%,0.55%,0.26%,Midwest
Mississippi,65.72%,6,22.89%,8.65%,1.30%,0.66%,0.14%,South
BYU,65.49%,6,27.91%,11.21%,1.22%,0.43%,0.22%,East
Missouri,58.77%,6,22.54%,8.62%,1.14%,0.43%,0.22%,West
UCLA,65.26%,7,15.47%,4.76%,1.94%,0.64%,0.37%,Midwest
Marquette,64.44%,7,14.58%,5.09%,1.16%,0.38%,0.15%,South
Kansas,62.47%,7,23.18%,10.75%,3.76%,2.01%,1.07%,West
St. Mary's,55.26%,7,12.22%,3.70%,0.71%,0.25%,0.10%,East
Gonzaga,69.18%,8,12.96%,7.32%,3.17%,1.12%,0.60%,Midwest
Connecticut,67.45%,8,10.55%,7.01%,2.97%,1.60%,0.76%,West
Louisville,54.45%,8,6.48%,3.70%,1.99%,0.43%,0.18%,South
Mississippi St.,42.10%,8,2.14%,0.91%,0.32%,0.13%,0.06%,South
Baylor,54.72%,9,3.79%,1.48%,0.67%,0.27%,0.13%,East
Creighton,43.91%,9,4.57%,2.02%,0.79%,0.28%,0.13%,South
Oklahoma,29.73%,9,2.69%,1.27%,0.50%,0.21%,0.09%,West
Georgia,27.63%,9,5.43%,2.42%,1.04%,0.64%,0.46%,Midwest
Vanderbilt,41.62%,10,5.52%,1.99%,0.42%,0.16%,0.07%,East
Arkansas,34.61%,10,6.19%,2.28%,0.57%,0.25%,0.12%,West
New Mexico,33.67%,10,3.87%,1.36%,0.35%,0.13%,0.06%,South
Utah St.,31.30%,10,3.18%,0.97%,0.29%,0.11%,0.04%,Midwest
Drake,38.30%,11,12.19%,2.45%,0.59%,0.25%,0.09%,West
SDSU/UNC,31.95%,11,10.23%,2.03%,0.65%,0.33%,0.22%,South
VCU,31.43%,11,7.92%,1.53%,0.31%,0.14%,0.06%,East
TEX/XAV,22.46%,11,5.71%,1.07%,0.32%,0.13%,0.07%,Midwest
Colorado St.,27.79%,12,6.83%,0.84%,0.34%,0.15%,0.07%,West
UC San Diego,19.31%,12,8.27%,1.15%,0.52%,0.21%,0.09%,South
Liberty,17.22%,12,4.50%,0.57%,0.25%,0.11%,0.05%,East
Mcneese,14.42%,12,5.10%,0.67%,0.25%,0.10%,0.04%,Midwest
Yale,20.90%,13,4.96%,0.96%,0.54%,0.33%,0.21%,South
High Point,14.52%,13,3.93%,0.60%,0.27%,0.10%,0.05%,Midwest
Grand Canyon,13.42%,13,4.56%,0.69%,0.28%,0.12%,0.06%,West
Akron,12.02%,13,4.23%,0.62%,0.24%,0.11%,0.06%,East
N.C. Wilmington,5.99%,14,1.81%,0.49%,0.20%,0.09%,0.04%,West
Lipscomb,5.73%,14,1.81%,0.46%,0.17%,0.07%,0.03%,South
Montana,5.57%,14,1.77%,0.54%,0.23%,0.10%,0.05%,East
Troy,4.97%,14,1.66%,0.48%,0.20%,0.09%,0.04%,Midwest
Nebraska Omaha,4.03%,15,1.27%,0.59%,0.24%,0.11%,0.05%,West
Wofford,3.36%,15,1.28%,0.64%,0.24%,0.12%,0.05%,Midwest
Bryant,3.25%,15,1.33%,0.64%,0.25%,0.09%,0.04%,South
Robert Morris,3.23%,15,1.23%,0.54%,0.22%,0.09%,0.04%,East
SIU Edwardsville,2.14%,16,0.84%,0.42%,0.24%,0.11%,0.05%,Midwest
Norfolk St.,1.92%,16,0.81%,0.40%,0.22%,0.11%,0.06%,West
AMER/MSM,1.63%,16,0.75%,0.38%,0.22%,0.10%,0.04%,East
ALST/SFPA,1.62%,16,0.70%,0.38%,0.21%,0.10%,0.05%,South
