"T1","T2","Season","X1_WinRatio14d","X1_PointsMean","X1_PointsMedian","X1_PointsDiffMean","X1_FgaMean","X1_FgaMedian","X1_FgaMin","X1_FgaMax","X1_AstMean","X1_BlkMean","X1_OppFgaMean","X1_OppFgaMin","X2_WinRatio14d","X2_PointsMean","X2_PointsMedian","X2_PointsDiffMean","X2_FgaMean","X2_FgaMedian","X2_FgaMin","X2_FgaMax","X2_AstMean","X2_BlkMean","X2_OppFgaMean","X2_OppFgaMin","Seed1","Seed2","SeedDiff","quality_march_T1","quality_march_T2"
1421,1411,2003,1,71.2068965517241,71,-7.24137931034483,56.7931034482759,57,45,76,13.0344827586207,3,60.9655172413793,50,0.833333333333333,72.8,72.5,1.96666666666667,55.2666666666667,55,39,73,14.2,2.23333333333333,60.4,43,16,16,0,0.866988707495894,0.974984044246038
1112,1436,2003,0.666666666666667,85.2142857142857,86.5,14.9642857142857,65.7142857142857,66,50,88,17.6428571428571,4.21428571428571,64.6785714285714,52,1,67.7931034482759,65,4.6551724137931,55.8620689655172,58,44,67,14.2068965517241,2.96551724137931,55.0689655172414,44,1,16,-15,1.19379898411687,0.975313249935731
1113,1272,2003,0.666666666666667,75.9655172413793,75,6.79310344827586,56.8965517241379,57,46,69,15.551724137931,4.24137931034483,55.6551724137931,43,0.75,74.5172413793103,73,8.68965517241379,60,61,50,79,16.6206896551724,5.06896551724138,57.8620689655172,42,10,7,3,0.862122755988806,1.04982948869981
1141,1166,2003,1,79.3448275862069,80,6.10344827586207,52.6896551724138,53,40,63,15.6206896551724,4,57.9310344827586,44,1,79.2424242424242,80,14.9090909090909,57.4545454545455,57,48,69,16.8181818181818,4.45454545454545,55.3333333333333,45,11,6,5,NA,1.07442210819497
1143,1301,2003,0.333333333333333,74.4827586206897,75,4.72413793103448,58.7241379310345,58,42,77,16,2.79310344827586,58.7931034482759,48,0.6,72.4,71.5,4.4,53.3333333333333,52,44,73,14.6666666666667,3.06666666666667,53.1333333333333,35,8,9,-1,0.979447791703449,0.894431385122964
1163,1140,2003,0.6,80.0333333333333,76.5,8.63333333333333,62.2,63.5,47,84,15.6333333333333,7.73333333333333,65.3666666666667,45,0.8,72.4516129032258,71,8.7741935483871,51.258064516129,51,34,63,13.4193548387097,2.51612903225806,51.258064516129,36,5,12,-7,1.04796949064796,0.997693656177671
1181,1161,2003,0.8,81.9666666666667,80.5,11.5666666666667,60.3333333333333,60,45,73,13.8333333333333,5.13333333333333,57.1666666666667,46,0.833333333333333,74,74,1.33333333333333,52.1,51,37,70,15.5,4.23333333333333,57.4666666666667,32,3,14,-11,1.09525257843979,0.890493409714522
1211,1153,2003,0.5,77.0645161290323,73,8.87096774193548,55.4516129032258,55,35,67,15.741935483871,3.51612903225806,56.258064516129,43,0.333333333333333,67.3214285714286,65.5,5.82142857142857,56.6785714285714,56.5,44,68,12.2857142857143,4.25,53.1071428571429,41,9,8,1,1.02304019408614,0.935578956876978
1228,1443,2003,0.8,75.4333333333333,74.5,14.0333333333333,55.8,55.5,43,75,18.2666666666667,3.1,54.0666666666667,41,1,73.0967741935484,72,6.67741935483871,55.9032258064516,55,41,82,14.1935483870968,3.54838709677419,55.9677419354839,46,4,13,-9,1.02106325548116,0.976128908432851
1242,1429,2003,0.75,81.3333333333333,81,14.9666666666667,62.3,62.5,49,72,16.7333333333333,4.9,60.5333333333333,48,1,65.9666666666667,63.5,5.86666666666667,51.9333333333333,52,41,66,13.9,2,50.8,41,2,15,-13,1.06645675925862,1.05108043664979
1266,1221,2003,0.5,78.3928571428571,75.5,10.7142857142857,56.25,57,39,75,16.3214285714286,3.64285714285714,58.6785714285714,43,1,69.3448275862069,71,11.1379310344828,52.7241379310345,54,40,65,15.4137931034483,4.48275862068965,50.7241379310345,41,3,14,-11,1.07392509816192,0.999011185854501
1281,1356,2003,0.5,71.7741935483871,70,5.29032258064516,59.1935483870968,60,39,73,13.741935483871,4.32258064516129,59.9354838709677,48,0.75,74.5333333333333,74.5,6.43333333333333,57.8666666666667,57.5,45,70,13.5666666666667,3.2,53.8,38,6,11,-5,0.960925563991329,1.02562044184155
